A0A644F001	Dynein heavy chain (A0A644F001_GIAIC)	GL50803_0037985
A0A644F037	SUN domain-containing protein (A0A644F037_GIAIC)	GL50803_0061270
A0A644F0J2	Uncharacterized protein (A0A644F0J2_GIAIC)	GL50803_0061304
A0A644F391	Transporter, MFS superfamily protein (A0A644F391_GIAIC)	GL50803_0040224
A0A644F4A6	Uncharacterized protein (A0A644F4A6_GIAIC)	GL50803_0060562
A0A644F4Z1	Ankyrin repeat protein 1 (A0A644F4Z1_GIAIC)	GL50803_0060569
A8B1U4	IFT complex B (A8B1U4_GIAIC)	GL50803_14713
A8B1V5	Aspartate aminotransferase (A8B1V5_GIAIC)	GL50803_91056
A8B1Y4	Ankyrin repeat protein 1 (A8B1Y4_GIAIC)	GL50803_10632
A8B296	IFT81_CH domain-containing protein (A8B296_GIAIC)	GL50803_15428
A8B299	MFS domain-containing protein (A8B299_GIAIC)	GL50803_11540
A8B2R7	Protein kinase domain-containing protein (A8B2R7_GIAIC)	GL50803_15514
A8B2X0	Seryl-tRNA synthetase (A8B2X0_GIAIC)	GL50803_101501
A8B314	Aa_trans domain-containing protein (A8B314_GIAIC)	GL50803_7909
A8B322	PX domain-containing protein (A8B322_GIAIC)	GL50803_42357
A8B343	PX domain-containing protein (A8B343_GIAIC)	GL50803_7723
A8B361	ABC transporter domain-containing protein (A8B361_GIAIC)	GL50803_16592
A8B374	Phosphorylase B kinase gamma catalytic chain (A8B374_GIAIC)	GL50803_95563
A8B3A0	Ankyrin repeat protein 1 (A8B3A0_GIAIC)	GL50803_24842
A8B3L0	Uncharacterized protein (A8B3L0_GIAIC)	GL50803_4627
A8B3M2	CTP synthase (A8B3M2_GIAIC)	GL50803_4507
A8B3S4	BRO1 domain-containing protein (A8B3S4_GIAIC)	GL50803_103709
A8B3T0	Multidrug resistance-associated protein 1 (A8B3T0_GIAIC)	GL50803_28379
A8B3U7	Nucleotide-binding protein 1 (A8B3U7_GIAIC)	GL50803_14604
A8B433	Farnesyl diphosphate synthase (A8B433_GIAIC)	GL50803_6633
A8B467	Uncharacterized protein (A8B467_GIAIC)	GL50803_6464
A8B476	MRP-like ABC transporter (A8B476_GIAIC)	GL50803_17132
A8B4B6	GPN-loop GTPase (A8B4B6_GIAIC)	GL50803_15164
A8B4I3	CoA_binding domain-containing protein (A8B4I3_GIAIC)	GL50803_16667
A8B4Q7	Ankyrin repeat protein 1 (A8B4Q7_GIAIC)	GL50803_17586
A8B4R2	Kinase, NEK (A8B4R2_GIAIC)	GL50803_9870
A8B4R5	Uncharacterized protein (A8B4R5_GIAIC)	GL50803_9865
A8B4T8	WD_REPEATS_REGION domain-containing protein (A8B4T8_GIAIC)	GL50803_11953
A8B4U1	Uncharacterized protein (A8B4U1_GIAIC)	GL50803_114921
A8B4W8	ANK_REP_REGION domain-containing protein (A8B4W8_GIAIC)	GL50803_3746
A8B4X8	Uncharacterized protein (A8B4X8_GIAIC)	GL50803_8745
A8B4Z2	Kinesin motor domain-containing protein (A8B4Z2_GIAIC)	GL50803_6262
A8B4Z7	Kinesin motor domain-containing protein (A8B4Z7_GIAIC)	GL50803_102101
A8B508	Uncharacterized protein (A8B508_GIAIC)	GL50803_9363
A8B518	Kinesin motor domain-containing protein (A8B518_GIAIC)	GL50803_112846
A8B519	Uncharacterized protein (A8B519_GIAIC)	GL50803_14963
A8B549	Uncharacterized protein (A8B549_GIAIC)	GL50803_91324
A8B5J7	IPPc domain-containing protein (A8B5J7_GIAIC)	GL50803_9077
A8B5K6	ANK_REP_REGION domain-containing protein (A8B5K6_GIAIC)	GL50803_14859
A8B5M0	Ankyrin repeat protein 1 (A8B5M0_GIAIC)	GL50803_9720
A8B5M1	Oxidored_FMN domain-containing protein (A8B5M1_GIAIC)	GL50803_9719
A8B5R8	Ankyrin repeat protein 1 (A8B5R8_GIAIC)	GL50803_16537
A8B5W4	Kinase, NEK (A8B5W4_GIAIC)	GL50803_8152
A8B614	Protein kinase domain-containing protein (A8B614_GIAIC)	GL50803_137719
A8B686	Uncharacterized protein (A8B686_GIAIC)	GL50803_16353
A8B6P4	Kinase, NEK (A8B6P4_GIAIC)	GL50803_87677
A8B6P7	ABC transporter domain-containing protein (A8B6P7_GIAIC)	GL50803_8227
A8B6Y0	BEACH domain-containing protein (A8B6Y0_GIAIC)	GL50803_113143
A8B724	Uncharacterized protein (A8B724_GIAIC)	GL50803_90434
A8B746	Uncharacterized protein (A8B746_GIAIC)	GL50803_15213
A8B762	HEAT repeat-containing protein 1 (A8B762_GIAIC)	GL50803_103285
A8B767	26S proteasome regulatory subunit, putative (A8B767_GIAIC)	GL50803_91643
A8B7A3	Serine carboxypeptidase (A8B7A3_GIAIC)	GL50803_10843
A8B7M0	Alpha-3 giardin (A8B7M0_GIAIC)	GL50803_11683
A8B7V7	Ankyrin repeat protein 1 (A8B7V7_GIAIC)	GL50803_137703
A8B7Z1	Protein kinase domain-containing protein (A8B7Z1_GIAIC)	GL50803_10893
A8B827	DNA-directed RNA polymerase subunit beta (A8B827_GIAIC)	GL50803_29436
A8B852	Pyruvate-flavodoxin oxidoreductase (A8B852_GIAIC)	GL50803_17063
A8B867	Uncharacterized protein (A8B867_GIAIC)	GL50803_92132
A8B8F4	Protein transport protein SEC23 (A8B8F4_GIAIC)	GL50803_9376
A8B8M9	Phosphoinositide-3-kinase, class 3 (A8B8M9_GIAIC)	GL50803_17406
A8B8R9	T-complex protein 1 subunit gamma (A8B8R9_GIAIC)	GL50803_17411
A8B8T1	CDC19 (A8B8T1_GIAIC)	GL50803_17413
A8B8T3	RRM domain-containing protein (A8B8T3_GIAIC)	GL50803_15495
A8B9A6	MFS domain-containing protein (A8B9A6_GIAIC)	GL50803_114777
A8B9B7	Alpha-SNAP, putative (A8B9B7_GIAIC)	GL50803_17224
A8B9C5	IFT complex B (A8B9C5_GIAIC)	GL50803_17223
A8B9H1	Ankyrin repeat protein 3 (A8B9H1_GIAIC)	GL50803_12139
A8B9R4	ABC transporter, ATP-binding protein (A8B9R4_GIAIC)	GL50803_21411
A8B9U2	Cation_ATPase_N domain-containing protein (A8B9U2_GIAIC)	GL50803_32658
A8BA49	Uncharacterized protein (A8BA49_GIAIC)	GL50803_16507
A8BA54	Uncharacterized protein (A8BA54_GIAIC)	GL50803_16504
A8BAD0	Uncharacterized protein (A8BAD0_GIAIC)	GL50803_17255
A8BAF1	IFT complex A (A8BAF1_GIAIC)	GL50803_17251
A8BAF3	Peptidylprolyl isomerase (A8BAF3_GIAIC)	GL50803_3643
A8BAK9	Protein phosphatase 2A B' regulatory subunit Wdb1 (A8BAK9_GIAIC)	GL50803_16443
