A8BEQ2	Uncharacterized protein (A8BEQ2_GIAIC)	GL50803_101278
A8BW38	Protein kinase domain-containing protein (A8BW38_GIAIC)	GL50803_17625
A8B519	Uncharacterized protein (A8B519_GIAIC)	GL50803_14963
A8BER9	Median body protein (A8BER9_GIAIC)	GL50803_16343
A8B4R5	Uncharacterized protein (A8B4R5_GIAIC)	GL50803_9865
A8BVU0	Ribosomal_S17_N domain-containing protein (A8BVU0_GIAIC)	GL50803_14827
A8B4T7	Ribosomal_L18e/L15P domain-containing protein (A8B4T7_GIAIC)	GL50803_11950
A8B4T8	WD_REPEATS_REGION domain-containing protein (A8B4T8_GIAIC)	GL50803_11953
A8B4Z7	Kinesin motor domain-containing protein (A8B4Z7_GIAIC)	GL50803_102101
A8BED3	Serine/threonine-protein phosphatase (A8BED3_GIAIC)	GL50803_5010
A8BG76	Proteasome endopeptidase complex (A8BG76_GIAIC)	GL50803_7962
A8BFX3	Kinase, NEK (A8BFX3_GIAIC)	GL50803_16824
A8BXB8	ANK_REP_REGION domain-containing protein (A8BXB8_GIAIC)	GL50803_7414
A8BFG8	J domain-containing protein (A8BFG8_GIAIC)	GL50803_17483
A8B5K6	ANK_REP_REGION domain-containing protein (A8B5K6_GIAIC)	GL50803_14859
A8BWP7	Alanine--tRNA ligase (A8BWP7_GIAIC)	GL50803_96460
A8BX22	Stress-induced-phosphoprotein 1 (A8BX22_GIAIC)	GL50803_27310
A8BH61	Ribosomal_L19e domain-containing protein (A8BH61_GIAIC)	GL50803_16431
A8B747	Serine/threonine-protein phosphatase (A8B747_GIAIC)	GL50803_15214
A8BHC4	Uncharacterized protein (A8BHC4_GIAIC)	GL50803_16067
A8BGI6	V-type proton ATPase subunit (A8BGI6_GIAIC)	GL50803_13000
A8BGL6	Kinase, SCY1 (A8BGL6_GIAIC)	GL50803_8805
A8BXP9	Kinase, NEK (A8BXP9_GIAIC)	GL50803_8445
A8BH18	Kinase, NEK (A8BH18_GIAIC)	GL50803_11390
A8B724	Uncharacterized protein (A8B724_GIAIC)	GL50803_90434
A8BY54	Leucyl-tRNA synthetase (A8BY54_GIAIC)	GL50803_8621
A8BGT4	Uncharacterized protein (A8BGT4_GIAIC)	GL50803_11497
A8B731	Uncharacterized protein (A8B731_GIAIC)	GL50803_13467
A8B7X7	OTU domain-containing protein (A8B7X7_GIAIC)	GL50803_88556
A8BIF2	Triosephosphate isomerase (A8BIF2_GIAIC)	GL50803_93938
A8B7M0	Alpha-3 giardin (A8B7M0_GIAIC)	GL50803_11683
A8BHU2	Uncharacterized protein (A8BHU2_GIAIC)	GL50803_16902
A8B843	Protein kinase domain-containing protein (A8B843_GIAIC)	GL50803_11178
A8B852	Pyruvate-flavodoxin oxidoreductase (A8B852_GIAIC)	GL50803_17063
A8BAM2	Ubiquitin-like domain-containing protein (A8BAM2_GIAIC)	GL50803_115337
A8BRQ2	Glutamate synthase (A8BRQ2_GIAIC)	GL50803_7195
A8BAR6	Adaptin_N domain-containing protein (A8BAR6_GIAIC)	GL50803_17304
D3KHE2	Endo/exonuclease/phosphatase domain-containing protein (D3KHE2_GIAIC)	GL50803_10551
A8BS62	GTP-binding nuclear protein (A8BS62_GIAIC)	GL50803_15869
A8BAU7	CCT-theta (A8BAU7_GIAIC)	GL50803_13500
A8BRV7	Protein kinase domain-containing protein (A8BRV7_GIAIC)	GL50803_13921
A0A644EY11	Ankyrin repeat protein 3 (A0A644EY11_GIAIC)	GL50803_0061564
A8BRH9	Protein kinase domain-containing protein (A8BRH9_GIAIC)	GL50803_16235
A8BAF3	Peptidylprolyl isomerase (A8BAF3_GIAIC)	GL50803_3643
A8BBP6	UBA_e1_C domain-containing protein (A8BBP6_GIAIC)	GL50803_10661
A8BSS7	ANK_REP_REGION domain-containing protein (A8BSS7_GIAIC)	GL50803_21505
A8BC70	Sec24-like (A8BC70_GIAIC)	GL50803_17164
A8BSI3	SER_THR_PHOSPHATASE domain-containing protein (A8BSI3_GIAIC)	GL50803_7588
A8BBJ1	FAD-dependent glycerol-3-phosphate dehydrogenase (A8BBJ1_GIAIC)	GL50803_16125
A8BBI7	Ubiquitin carboxyl-terminal hydrolase (A8BBI7_GIAIC)	GL50803_14460
A8BCS1	BRO1 domain-containing protein (A8BCS1_GIAIC)	GL50803_7031
A8B322	PX domain-containing protein (A8B322_GIAIC)	GL50803_42357
A8B2S4	Protein kinase domain-containing protein (A8B2S4_GIAIC)	GL50803_14742
A8B343	PX domain-containing protein (A8B343_GIAIC)	GL50803_7723
A8B1Y6	Coatomer beta subunit (A8B1Y6_GIAIC)	GL50803_88082
A8BCD1	Uncharacterized protein (A8BCD1_GIAIC)	GL50803_16678
A8BTG2	M16C_associated domain-containing protein (A8BTG2_GIAIC)	GL50803_93551
A8BCE5	Flagellar exit site protein (A8BCE5_GIAIC)	GL50803_8855
A8B2F3	Ribosomal protein L10e (A8B2F3_GIAIC)	GL50803_10341
A8BTM8	Uncharacterized protein (A8BTM8_GIAIC)	GL50803_16844
A8BDQ0	Coatomer beta' subunit (A8BDQ0_GIAIC)	GL50803_9593
