	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A8BVR3	Elongation factor 1-alpha (A8BVR3_GIAIC)	GL50803_112304		49.07328354623417	87.56	36.65	496.2139847247051	Oxidation of M(M175, M203, M283, M336)	Oxidation of M(4)			Single Protein		A8BVR3	14	34	34	14	34	14	28	65	100.0	Confident
2	A8B501	Uncharacterized protein (A8B501_GIAIC)	GL50803_39694		4.849660203391871	100.0	28.57	0.0	Oxidation of M(M1)	Oxidation of M(1)			Single Protein		A8B501	1	2	2	1	2	1	0	12	98.38056680161942	Doubtful
3	A8B515	Clathrin heavy chain (A8B515_GIAIC)	GL50803_102108		206.82157423125955	61.73	7.11	78.48045825431339	Oxidation of M(M1861)	Oxidation of M(1)			Single Protein		A8B515	13	37	37	13	37	13	28	64	100.0	Confident
4	PRDX1_HUMAN				22.096278847426646	75.38	5.53	450.4210858205333					Single Protein		PRDX1_HUMAN	1	4	4	1	4	1	4	8	100.0	Doubtful
5	A8BW60	Aminotran_1_2 domain-containing protein (A8BW60_GIAIC)	GL50803_12150		58.286547150855576	71.59	2.5	49.79655337682563					Single Protein		A8BW60	1	4	4	1	4	1	1	4	98.36065573770492	Doubtful
6	A8BVW7	Dynein heavy chain (A8BVW7_GIAIC)	GL50803_103059		273.93503967077066	72.78	0.46	10.98992104932395					Single Protein		A8BVW7	1	10	10	1	10	1	2	11	100.0	Doubtful
7	A8BEW2	Uncharacterized protein (A8BEW2_GIAIC)	GL50803_9183		213.6111383603531	85.4	1.0	19.130719140214744					Single Protein		A8BEW2	2	21	21	2	21	2	2	24	100.0	Confident
8	A8B588	ATP/GTP binding protein, putative (A8B588_GIAIC)	GL50803_10370		52.63664290375261	88.3	7.06	74.20016231646203					Single Protein		A8B588	2	9	9	2	9	2	3	9	100.0	Confident
9	A8BVD3	TRANSKETOLASE_1 domain-containing protein (A8BVD3_GIAIC)	GL50803_9704		77.51523819087949	55.91	1.67	41.96338767710025					Single Protein		A8BVD3	1	6	6	1	6	1	1	6	100.0	Doubtful
10	A8BEI6	Tubulin beta chain (A8BEI6_GIAIC)	GL50803_101291		50.01706297730935	60.18	20.13	420.4085134140598	Oxidation of M(M73, M316, M330, M388)	Oxidation of M(4)			Single Protein		A8BEI6	8	20	20	8	20	8	13	31	100.0	Confident
11	A0A644FAT1	Delta giardin (A0A644FAT1_GIAIC)	GL50803_0086676		30.854595899193004	100.0	2.99	83.6136157446699					Related Proteins	A8BEZ6	A0A644FAT1, A8BEZ6	1	8	8	1	8	1	2	8	100.0	Doubtful
12	A0A644F1W3	Putative Reverse transcriptase/endonuclease (A0A644F1W3_GIAIC)	GL50803_0060942		118.4620499488826	61.95	0.9	0.0					Related Proteins	A0A644F2F4	A0A644F1W3, A0A644F2F4	1	3	0	0	3	1	0	10	98.3739837398374	Doubtful
13	A8BEN7	ANK_REP_REGION domain-containing protein (A8BEN7_GIAIC)	GL50803_14100		44.548440762776245	62.78	9.93	171.7759445120469					Single Protein		A8BEN7	4	7	7	4	7	4	5	13	100.0	Confident
14	A8BG83	Kinase, NEK (A8BG83_GIAIC)	GL50803_16889		61.85978966135191	62.21	4.1	43.17620234984881					Single Protein		A8BG83	1	2	2	1	2	1	1	2	100.0	Doubtful
15	A8BG80	LRRcap domain-containing protein (A8BG80_GIAIC)	GL50803_16891		29.083122998843905	66.67	6.51	98.28267113847163					Single Protein		A8BG80	1	1	1	1	1	1	1	1	100.0	Doubtful
16	A0A644F9H9	HATPase_c domain-containing protein (A0A644F9H9_GIAIC)	GL50803_0098054		80.72098849652629	83.66	1.28	34.95857881368414					Unrelated Proteins	A8BQS7	A0A644F9H9, A8BQS7	1	4	0	0	0	0	1	5	100.0	Doubtful
17	A0A644FAR5	Enkurin domain-containing protein (A0A644FAR5_GIAIC)	GL50803_0016996		39.56522426421937	80.17	4.19	78.07821958038862					Related Proteins	A8BBN8	A0A644FAR5, A8BBN8	1	4	4	1	4	1	1	4	100.0	Doubtful
18	P00761	Trypsin (TRYP_PIG)			24.393805244132462	68.4	30.3	4633.102650726528	Oxidation of M(M94)	Oxidation of M(1)			Related Proteins	TRYP_PIG	P00761, TRYP_PIG	32	40	40	32	40	32	139	221	100.0	Confident
19	A8BXE6	ANK_REP_REGION domain-containing protein (A8BXE6_GIAIC)	GL50803_32778		64.16509915888274	95.24	9.69	125.12654356166644	Oxidation of M(M167, M182, M192)	Oxidation of M(3)			Single Protein		A8BXE6	5	18	18	5	18	5	6	22	100.0	Confident
