A8BEQ2	Uncharacterized protein (A8BEQ2_GIAIC)	GL50803_101278
A8BW38	Protein kinase domain-containing protein (A8BW38_GIAIC)	GL50803_17625
A8B518	Kinesin motor domain-containing protein (A8B518_GIAIC)	GL50803_112846
A8BER9	Median body protein (A8BER9_GIAIC)	GL50803_16343
A8B4T8	WD_REPEATS_REGION domain-containing protein (A8B4T8_GIAIC)	GL50803_11953
A8B4Z7	Kinesin motor domain-containing protein (A8B4Z7_GIAIC)	GL50803_102101
A8B4Z2	Kinesin motor domain-containing protein (A8B4Z2_GIAIC)	GL50803_6262
A8BVL0	Protein kinase domain-containing protein (A8BVL0_GIAIC)	GL50803_92498
A8BEM5	Dynein heavy chain (A8BEM5_GIAIC)	GL50803_40496
A8BW25	Uncharacterized protein (A8BW25_GIAIC)	GL50803_17627
A8BFX3	Kinase, NEK (A8BFX3_GIAIC)	GL50803_16824
A8B686	Uncharacterized protein (A8B686_GIAIC)	GL50803_16353
A8BWM5	6-phosphogluconolactonase/Glucose-6-phosphate 1-dehydrogenase (A8BWM5_GIAIC)	GL50803_8682
A8B5K6	ANK_REP_REGION domain-containing protein (A8B5K6_GIAIC)	GL50803_14859
A8BX05	HZGJ (A8BX05_GIAIC)	GL50803_3531
A8BWP7	Alanine--tRNA ligase (A8BWP7_GIAIC)	GL50803_96460
A8B5M1	Oxidored_FMN domain-containing protein (A8B5M1_GIAIC)	GL50803_9719
A8B614	Protein kinase domain-containing protein (A8B614_GIAIC)	GL50803_137719
A8BGX6	Aldo_ket_red domain-containing protein (A8BGX6_GIAIC)	GL50803_7260
A8B798	Lactamase_B domain-containing protein (A8B798_GIAIC)	GL50803_15305
A8BHB1	AAA domain-containing protein (A8BHB1_GIAIC)	GL50803_94322
A8BHC4	Uncharacterized protein (A8BHC4_GIAIC)	GL50803_16067
A8B7A7	Vacuolar protein sorting 2 (A8B7A7_GIAIC)	GL50803_29327
A8B7C0	Uncharacterized protein (A8B7C0_GIAIC)	GL50803_2014
A8BGI6	V-type proton ATPase subunit (A8BGI6_GIAIC)	GL50803_13000
A8BGL6	Kinase, SCY1 (A8BGL6_GIAIC)	GL50803_8805
A8BXP9	Kinase, NEK (A8BXP9_GIAIC)	GL50803_8445
A8BH18	Kinase, NEK (A8BH18_GIAIC)	GL50803_11390
A8B6P4	Kinase, NEK (A8B6P4_GIAIC)	GL50803_87677
A8B724	Uncharacterized protein (A8B724_GIAIC)	GL50803_90434
A8BY54	Leucyl-tRNA synthetase (A8BY54_GIAIC)	GL50803_8621
A8BGT4	Uncharacterized protein (A8BGT4_GIAIC)	GL50803_11497
A8B731	Uncharacterized protein (A8B731_GIAIC)	GL50803_13467
A8BHY1	ANK_REP_REGION domain-containing protein (A8BHY1_GIAIC)	GL50803_93011
A8B7X7	OTU domain-containing protein (A8B7X7_GIAIC)	GL50803_88556
A8BIF2	Triosephosphate isomerase (A8BIF2_GIAIC)	GL50803_93938
A8BYL9	Deoxyribonuclease, TatD family (A8BYL9_GIAIC)	GL50803_95789
A8B7M0	Alpha-3 giardin (A8B7M0_GIAIC)	GL50803_11683
A8BHU2	Uncharacterized protein (A8BHU2_GIAIC)	GL50803_16902
A8B843	Protein kinase domain-containing protein (A8B843_GIAIC)	GL50803_11178
A8B852	Pyruvate-flavodoxin oxidoreductase (A8B852_GIAIC)	GL50803_17063
A8BAK9	Protein phosphatase 2A B' regulatory subunit Wdb1 (A8BAK9_GIAIC)	GL50803_16443
A8BAM2	Ubiquitin-like domain-containing protein (A8BAM2_GIAIC)	GL50803_115337
A8BRP6	Uncharacterized protein (A8BRP6_GIAIC)	GL50803_7188
A8BRQ2	Glutamate synthase (A8BRQ2_GIAIC)	GL50803_7195
D3KGW1	Uncharacterized protein (D3KGW1_GIAIC)	GL50803_33663
A8BAR6	Adaptin_N domain-containing protein (A8BAR6_GIAIC)	GL50803_17304
A8BRS8	Radial spoke protein 3 (A8BRS8_GIAIC)	GL50803_16450
