	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A8BEQ2	Uncharacterized protein (A8BEQ2_GIAIC)	GL50803_101278		149.67943021042967	70.53	2.11	20.806738588432356					Single Protein		A8BEQ2	2	16	16	2	16	2	4	21	100.0	Confident
2	A8BW38	Protein kinase domain-containing protein (A8BW38_GIAIC)	GL50803_17625		39.948536661270346	71.43	10.0	85.12985704051745	Oxidation of M(M257)	Oxidation of M(1)			Single Protein		A8BW38	4	8	8	4	8	4	5	9	100.0	Confident
3	A8BVR5	Coatomer gamma subunit (A8BVR5_GIAIC)	GL50803_5603		105.19407896283258	66.46	1.15	13.146185588974683					Single Protein		A8BVR5	1	7	7	1	7	1	1	7	100.0	Doubtful
5	A8B519	Uncharacterized protein (A8B519_GIAIC)	GL50803_14963		96.6997582266218	72.14	2.77	20.406609000193274					Single Protein		A8B519	2	9	9	2	9	2	2	9	100.0	Confident
7	A8BER9	Median body protein (A8BER9_GIAIC)	GL50803_16343		100.52178417644636	96.85	17.85	42.00175866430441	Oxidation of M(M245, M691, M793, M798)	Oxidation of M(4)			Single Protein		A8BER9	13	37	37	13	37	13	17	38	100.0	Confident
8	A8B4R5	Uncharacterized protein (A8B4R5_GIAIC)	GL50803_9865		126.59436175665745	51.63	2.11	20.654864584137226					Single Protein		A8B4R5	2	12	12	2	12	2	2	12	100.0	Confident
10	A8BVU0	Ribosomal_S17_N domain-containing protein (A8BVU0_GIAIC)	GL50803_14827		18.052588460641037	100.0	18.83	195.99767605380433					Single Protein		A8BVU0	4	6	6	4	6	4	6	10	100.0	Confident
11	A8B4T7	Ribosomal_L18e/L15P domain-containing protein (A8B4T7_GIAIC)	GL50803_11950		20.14880701015084	87.15	17.32	115.92879302903093					Single Protein		A8B4T7	3	7	7	3	7	3	3	8	100.0	Confident
12	A8B4T8	WD_REPEATS_REGION domain-containing protein (A8B4T8_GIAIC)	GL50803_11953		139.23951297918978	64.13	2.43	19.838674906497644	Oxidation of M(M1074)	Oxidation of M(1)			Single Protein		A8B4T8	3	9	9	3	9	3	4	10	100.0	Confident
15	A0A644F3Y1	Amylomaltase (A0A644F3Y1_GIAIC)	GL50803_008978		136.01290527135993	59.43	4.84	23.410093803120265					Related Proteins	A8B231	A0A644F3Y1, A8B231	5	15	15	5	15	5	5	23	100.0	Confident
