	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A8BEQ2	Uncharacterized protein (A8BEQ2_GIAIC)	GL50803_101278		149.67943021042967	70.53	2.11	20.806738588432356					Single Protein		A8BEQ2	2	16	16	2	16	2	4	21	100.0	Confident
2	A8BW38	Protein kinase domain-containing protein (A8BW38_GIAIC)	GL50803_17625		39.948536661270346	71.43	10.0	85.12985704051745	Oxidation of M(M257)	Oxidation of M(1)			Single Protein		A8BW38	4	8	8	4	8	4	5	9	100.0	Confident
3	A8BVR5	Coatomer gamma subunit (A8BVR5_GIAIC)	GL50803_5603		105.19407896283258	66.46	1.15	13.146185588974683					Single Protein		A8BVR5	1	7	7	1	7	1	1	7	100.0	Doubtful
4	A8BVR3	Elongation factor 1-alpha (A8BVR3_GIAIC)	GL50803_112304		49.07328354623417	87.56	38.01	243.26368192330563	Oxidation of M(M174, M175, M265, M336)	Oxidation of M(4)			Single Protein		A8BVR3	19	49	49	19	49	19	53	114	100.0	Confident
5	A8B519	Uncharacterized protein (A8B519_GIAIC)	GL50803_14963		96.6997582266218	72.14	2.77	20.406609000193274					Single Protein		A8B519	2	9	9	2	9	2	2	9	100.0	Confident
6	A8B515	Clathrin heavy chain (A8B515_GIAIC)	GL50803_102108		206.82157423125955	58.1	14.27	109.22594424822101	Oxidation of M(M455, M1861)	Oxidation of M(2)			Single Protein		A8B515	32	73	73	32	73	32	85	169	100.0	Confident
7	A8BER9	Median body protein (A8BER9_GIAIC)	GL50803_16343		100.52178417644636	96.85	17.85	42.00175866430441	Oxidation of M(M245, M691, M793, M798)	Oxidation of M(4)			Single Protein		A8BER9	13	37	37	13	37	13	17	38	100.0	Confident
8	A8B4R5	Uncharacterized protein (A8B4R5_GIAIC)	GL50803_9865		126.59436175665745	51.63	2.11	20.654864584137226					Single Protein		A8B4R5	2	12	12	2	12	2	2	12	100.0	Confident
9	PRDX1_HUMAN				22.096278847426646	64.32	5.53	284.3936128670151					Single Protein		PRDX1_HUMAN	1	4	4	1	4	1	5	8	100.0	Doubtful
10	A8BVU0	Ribosomal_S17_N domain-containing protein (A8BVU0_GIAIC)	GL50803_14827		18.052588460641037	100.0	18.83	195.99767605380433					Single Protein		A8BVU0	4	6	6	4	6	4	6	10	100.0	Confident
