	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A8BEQ2	Uncharacterized protein (A8BEQ2_GIAIC)	GL50803_101278		149.67943021042967	70.53	3.31	37.48113581593467	Oxidation of M(M138)	Oxidation of M(1)			Single Protein		A8BEQ2	3	20	20	3	20	3	6	26	100.0	Confident
2	A8BW38	Protein kinase domain-containing protein (A8BW38_GIAIC)	GL50803_17625		39.948536661270346	71.43	12.86	69.54796688883305	Oxidation of M(M257)	Oxidation of M(1)			Single Protein		A8BW38	5	13	13	5	13	5	5	15	100.0	Confident
3	A8BVR5	Coatomer gamma subunit (A8BVR5_GIAIC)	GL50803_5603		105.19407896283258	66.46	1.15	9.799225223534044					Single Protein		A8BVR5	1	7	7	1	7	1	1	7	100.0	Doubtful
4	A8BXC9	Methionine adenosyltransferase (A8BXC9_GIAIC)	GL50803_5659		48.81579565312534	80.05	8.94	44.16422172038742					Unrelated Proteins	A0A644EZZ4	A0A644EZZ4, A8BXC9	4	7	7	4	7	4	4	7	100.0	Confident
5	A8BVR3	Elongation factor 1-alpha (A8BVR3_GIAIC)	GL50803_112304		49.07328354623417	87.56	49.32	255.92603347551474	Oxidation of M(M49, M174, M175, M203, M265, M283, M336, M418)	Oxidation of M(8)			Single Protein		A8BVR3	30	48	48	30	48	30	92	134	100.0	Confident
6	A8BW31	Uncharacterized protein (A8BW31_GIAIC)	GL50803_5615		39.406242634006404	74.43	2.56	27.129044750684283					Single Protein		A8BW31	1	7	7	1	7	1	1	12	100.0	Doubtful
7	A8B519	Uncharacterized protein (A8B519_GIAIC)	GL50803_14963		96.6997582266218	72.14	1.27	10.140784756565878					Single Protein		A8B519	1	11	11	1	11	1	2	13	100.0	Doubtful
8	A8B518	Kinesin motor domain-containing protein (A8B518_GIAIC)	GL50803_112846		120.4417113298863	60.73	10.59	22.99140909294538	Oxidation of M(M105, M106)	Oxidation of M(2)			Single Protein		A8B518	10	16	6	2	6	2	10	18	99.11032028469751	Confident
9	A8B515	Clathrin heavy chain (A8B515_GIAIC)	GL50803_102108		206.82157423125955	58.1	15.5	70.92746479710726	Oxidation of M(M455, M1861)	Oxidation of M(2)			Single Protein		A8B515	36	53	53	36	53	36	86	150	100.0	Confident
10	A8BEQ9	Putative replication factor-a protein (A8BEQ9_GIAIC)	GL50803_13075		53.53089040107102	82.61	3.11	18.83288597647949					Single Protein		A8BEQ9	1	5	5	1	5	1	1	5	100.0	Doubtful
11	A0A644FAC6	ANK_REP_REGION domain-containing protein (A0A644FAC6_GIAIC)	GL50803_0016532		89.91218427064643	78.13	1.6	5.67774758914052	Oxidation of M(M694)	Oxidation of M(1)			Related Proteins	A8B5Q6	A0A644FAC6, A8B5Q6	1	10	0	0	10	1	1	13	100.0	Doubtful
12	A8BER9	Median body protein (A8BER9_GIAIC)	GL50803_16343		100.52178417644636	96.85	26.84	35.888419981228964	Oxidation of M(M245, M619, M691)	Oxidation of M(3)			Single Protein		A8BER9	21	55	55	21	55	21	24	59	100.0	Confident
13	A8B4R5	Uncharacterized protein (A8B4R5_GIAIC)	GL50803_9865		126.59436175665745	51.63	1.15	10.264151967716316					Single Protein		A8B4R5	1	8	8	1	8	1	2	8	100.0	Doubtful
14	PRDX1_HUMAN				22.096278847426646	64.32	11.56	233.18709068364558					Single Protein		PRDX1_HUMAN	2	2	2	2	2	2	6	6	100.0	Confident
15	A8BVU0	Ribosomal_S17_N domain-containing protein (A8BVU0_GIAIC)	GL50803_14827		18.052588460641037	100.0	18.83	219.14630954448862					Single Protein		A8BVU0	4	6	6	4	6	4	8	11	100.0	Confident
16	A8BW60	Aminotran_1_2 domain-containing protein (A8BW60_GIAIC)	GL50803_12150		58.286547150855576	71.59	2.88	18.74918426102847					Single Protein		A8BW60	1	9	9	1	9	1	1	9	100.0	Doubtful
17	A8B4T7	Ribosomal_L18e/L15P domain-containing protein (A8B4T7_GIAIC)	GL50803_11950		20.14880701015084	87.15	24.58	145.33236403450837					Single Protein		A8B4T7	4	7	7	4	7	4	5	8	100.0	Confident
18	A8B4T8	WD_REPEATS_REGION domain-containing protein (A8B4T8_GIAIC)	GL50803_11953		139.23951297918978	64.13	3.68	16.80435969857953	Oxidation of M(M1074)	Oxidation of M(1)			Single Protein		A8B4T8	4	12	12	4	12	4	5	12	100.0	Confident
