	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A8BVR3	Elongation factor 1-alpha (A8BVR3_GIAIC)	GL50803_112304		49.07328354623417	87.56	45.93	290.2244305637251	Oxidation of M(M174, M175, M203, M265, M283, M336, M418)	Oxidation of M(7)			Single Protein		A8BVR3	21	39	39	21	39	21	41	82	100.0	Confident
2	A8B515	Clathrin heavy chain (A8B515_GIAIC)	GL50803_102108		206.82157423125955	65.63	8.23	101.68064287478903	Oxidation of M(M1861)	Oxidation of M(1)			Single Protein		A8B515	18	36	36	18	36	18	31	66	100.0	Confident
3	PRDX1_HUMAN				22.096278847426646	100.0	5.53	438.0191404692787					Single Protein		PRDX1_HUMAN	1	3	3	1	3	1	5	7	100.0	Doubtful
4	A8BW60	Aminotran_1_2 domain-containing protein (A8BW60_GIAIC)	GL50803_12150		58.286547150855576	80.61	2.5	38.74035953483842					Single Protein		A8BW60	1	7	7	1	7	1	1	7	100.0	Doubtful
5	A8BVU0	Ribosomal_S17_N domain-containing protein (A8BVU0_GIAIC)	GL50803_14827		18.052588460641037	100.0	18.83	169.80352393516839					Single Protein		A8BVU0	2	5	5	2	5	2	2	8	100.0	Confident
6	A8B4T7	Ribosomal_L18e/L15P domain-containing protein (A8B4T7_GIAIC)	GL50803_11950		20.14880701015084	100.0	11.73	194.78393062209264					Single Protein		A8B4T7	2	5	5	2	5	2	3	7	100.0	Confident
7	A8BVW7	Dynein heavy chain (A8BVW7_GIAIC)	GL50803_103059		273.93503967077066	78.93	0.87	12.824787977447738					Single Protein		A8BVW7	2	37	37	2	37	2	2	43	100.0	Confident
8	A8BEW2	Uncharacterized protein (A8BEW2_GIAIC)	GL50803_9183		213.6111383603531	87.97	1.1	14.883177396707989					Single Protein		A8BEW2	2	35	35	2	35	2	3	45	100.0	Confident
9	A8B588	ATP/GTP binding protein, putative (A8B588_GIAIC)	GL50803_10370		52.63664290375261	93.6	11.92	118.65838599246868					Single Protein		A8B588	4	29	29	4	29	4	6	30	100.0	Confident
10	A8B4B0	Uncharacterized protein (A8B4B0_GIAIC)	GL50803_102170		28.33951814318444	74.6	3.57	80.70908236424671					Single Protein		A8B4B0	1	2	2	1	2	1	1	2	100.0	Doubtful
11	A8BEI6	Tubulin beta chain (A8BEI6_GIAIC)	GL50803_101291		50.01706297730935	65.77	22.15	349.74612634234524	Oxidation of M(M73, M316, M321, M330, M388)	Oxidation of M(5)			Single Protein		A8BEI6	11	18	18	11	18	11	17	30	100.0	Confident
12	A0A644FAT1	Delta giardin (A0A644FAT1_GIAIC)	GL50803_0086676		30.854595899193004	100.0	29.48	170.21184086668742	Oxidation of M(M152)	Oxidation of M(1)			Related Proteins	A8BEZ6	A0A644FAT1, A8BEZ6	6	11	11	6	11	6	8	12	100.0	Confident
13	A8B4M5	Inositol-3-phosphate synthase (A8B4M5_GIAIC)	GL50803_17579		59.8678178119917	69.58	2.73	42.62386745886867					Single Protein		A8B4M5	1	7	7	1	7	1	1	7	100.0	Doubtful
14	A8BEN7	ANK_REP_REGION domain-containing protein (A8BEN7_GIAIC)	GL50803_14100		44.548440762776245	62.78	10.42	187.0917956764081					Single Protein		A8BEN7	5	9	9	5	9	5	9	17	100.0	Confident
15	A8BG41	ATP-dependent RNA helicase p54, putative (A8BG41_GIAIC)	GL50803_2098		48.40617392570225	86.28	2.79	40.54223672250532					Single Protein		A8BG41	1	6	6	1	6	1	1	6	89.65517241379311	Doubtful
16	A8B5S2	Phosphatidylinositol-4-phosphate 5-kinase, putative (A8B5S2_GIAIC)	GL50803_14628		61.667908765343476	87.85	4.05	33.20602245843293					Single Protein		A8B5S2	1	8	8	1	8	1	2	8	99.22178988326849	Doubtful
17	A8BG76	Proteasome endopeptidase complex (A8BG76_GIAIC)	GL50803_7962		28.21736467478629	100.0	5.49	68.36534035559721					Single Protein		A8BG76	1	1	1	1	1	1	1	1	100.0	Doubtful
18	A8BFV5	WD_REPEATS_REGION domain-containing protein (A8BFV5_GIAIC)	GL50803_15042		46.75837518583135	69.05	2.08	49.385727452343595					Single Protein		A8BFV5	1	3	3	1	3	1	1	3	100.0	Doubtful
19	A8BG80	LRRcap domain-containing protein (A8BG80_GIAIC)	GL50803_16891		29.083122998843905	76.25	6.51	76.46123592402319					Single Protein		A8BG80	1	2	2	1	2	1	1	2	100.0	Doubtful
20	A0A644F9H9	HATPase_c domain-containing protein (A0A644F9H9_GIAIC)	GL50803_0098054		80.72098849652629	83.66	1.28	27.19682026626722					Unrelated Proteins	A8BQS7	A0A644F9H9, A8BQS7	1	9	0	0	0	0	2	12	100.0	Doubtful
21	P00761	Trypsin (TRYP_PIG)			24.393805244132462	68.4	30.3	4492.601154643267	Oxidation of M(M94)	Oxidation of M(1)			Related Proteins	TRYP_PIG	P00761, TRYP_PIG	10	11	11	10	11	10	129	237	100.0	Confident
22	GELS_HUMAN				85.6441892856544	66.75	2.05	0.0					Single Protein		GELS_HUMAN	1	2	2	1	2	1	0	4	94.5945945945946	Doubtful
23	A8BXB8	ANK_REP_REGION domain-containing protein (A8BXB8_GIAIC)	GL50803_7414		40.59965136219539	85.14	5.14	47.116653488317					Single Protein		A8BXB8	1	6	6	1	6	1	2	8	99.2094861660079	Doubtful
24	A8BXE6	ANK_REP_REGION domain-containing protein (A8BXE6_GIAIC)	GL50803_32778		64.16509915888274	95.24	16.67	76.87363617609154	Oxidation of M(M167, M182, M192, M223)	Oxidation of M(4)			Single Protein		A8BXE6	7	16	16	7	16	7	9	19	100.0	Confident
25	A8BGC8	RuvB-like helicase (A8BGC8_GIAIC)	GL50803_9825		51.386530850606256	93.16	5.34	59.97647405049526					Single Protein		A8BGC8	2	9	9	2	9	2	3	10	100.0	Confident
26	A8BXD7	Protein kinase domain-containing protein (A8BXD7_GIAIC)	GL50803_101850		46.92985153296752	79.21	2.97	86.30278114196678	Oxidation of M(M339)	Oxidation of M(1)			Single Protein		A8BXD7	1	8	8	1	8	1	2	9	100.0	Doubtful
27	A0A644FBE1	Non-specific serine/threonine protein kinase (A0A644FBE1_GIAIC)	GL50803_0016796		26.72958511536214	76.35	4.56	83.01505614608233					Related Proteins	A8BUB5	A0A644FBE1, A8BUB5	1	2	2	1	2	1	1	2	100.0	Doubtful
28	A8BFE9	Uncharacterized protein (A8BFE9_GIAIC)	GL50803_11354		30.078939608933098	50.89	6.05	87.16580895338645					Single Protein		A8BFE9	1	4	4	1	4	1	2	4	100.0	Doubtful
29	A8BFE3	40S ribosomal protein S4 (A8BFE3_GIAIC)	GL50803_11359		30.392180498053268	100.0	27.24	193.31460058395848	Oxidation of M(M136, M202, M207, M210)	Oxidation of M(4)			Single Protein		A8BFE3	9	18	18	9	18	9	10	22	100.0	Confident
30	A8BFF8	Glutamate dehydrogenase (A8BFF8_GIAIC)	GL50803_21942		49.702015491063094	93.54	31.4	131.42412847109668	Oxidation of M(M121, M385)	Oxidation of M(2)			Single Protein		A8BFF8	15	27	27	15	27	15	16	34	100.0	Confident
31	A8BFG8	J domain-containing protein (A8BFG8_GIAIC)	GL50803_17483		37.22904256065387	89.97	2.74	58.89581686039625					Single Protein		A8BFG8	1	3	3	1	3	1	1	4	100.0	Doubtful
32	A8BFG4	T-complex protein 1 subunit delta (A8BFG4_GIAIC)	GL50803_17482		56.28863649834358	83.37	5.61	65.76295600049731					Single Protein		A8BFG4	3	10	10	3	10	3	3	10	100.0	Confident
33	A0A644F4P9	Bip (A0A644F4P9_GIAIC)	GL50803_0017121		72.61778531307714	80.66	10.27	101.93967487768924	Oxidation of M(M464)	Oxidation of M(1)			Related Proteins	A8B431	A0A644F4P9, A8B431	6	23	23	6	23	6	10	38	100.0	Confident
34	KRHB4_HUMAN				64.85455456800703	85.5	5.33	130.2125441307179					Single Protein		KRHB4_HUMAN	4	7	2	1	3	1	18	23	100.0	Confident
35	A8BWP4	Uncharacterized protein (A8BWP4_GIAIC)	GL50803_8692		37.17319694655018	100.0	3.93	52.66816250959906					Single Protein		A8BWP4	1	5	5	1	5	1	2	15	99.21875	Doubtful
36	A8BFR0	Elongation factor 1-gamma (A8BFR0_GIAIC)	GL50803_12102		45.187643487827664	85.07	12.44	107.2930442642762					Single Protein		A8BFR0	5	10	10	5	10	5	5	10	100.0	Confident
37	A8BH61	Ribosomal_L19e domain-containing protein (A8BH61_GIAIC)	GL50803_16431		23.122787141833243	100.0	25.51	185.30146461179086					Single Protein		A8BH61	4	19	19	4	19	4	4	21	100.0	Confident
38	A8B748	Serine/threonine-protein phosphatase (A8B748_GIAIC)	GL50803_15215		35.29856846079127	79.35	11.61	131.59089515909787	Oxidation of M(M234, M274)	Oxidation of M(2)			Single Protein		A8B748	4	6	6	4	6	4	4	6	100.0	Doubtful
39	A8BXV9	Ankyrin repeat protein 1 (A8BXV9_GIAIC)	GL50803_9030		36.611960080470006	78.79	30.61	189.68408181584	Oxidation of M(M42, M159, M226, M237, M310)	Oxidation of M(5)			Single Protein		A8BXV9	9	18	18	9	18	9	9	22	100.0	Confident
40	A8B747	Serine/threonine-protein phosphatase (A8B747_GIAIC)	GL50803_15214		35.45175123575016	76.95	4.22	65.29274078905351	Oxidation of M(M228)	Oxidation of M(1)			Single Protein		A8B747	1	7	7	1	7	1	2	13	93.10344827586206	Doubtful
41	A8BGV6	Phosphoglycerate kinase (A8BGV6_GIAIC)	GL50803_90872		43.5734465752939	80.2	14.91	97.3244973644168					Single Protein		A8BGV6	5	13	13	5	13	5	5	15	100.0	Confident
42	A8BGW7	PPM-type phosphatase domain-containing protein (A8BGW7_GIAIC)	GL50803_14404		42.20258820033745	85.97	19.74	130.6139487285438	Oxidation of M(M176)	Oxidation of M(1)			Single Protein		A8BGW7	8	11	11	8	11	8	9	13	100.0	Confident
43	A8B787	MYG1 protein (A8B787_GIAIC)	GL50803_10858		40.83330385815179	100.0	3.6	96.58261379876615					Single Protein		A8B787	1	3	3	1	3	1	3	10	100.0	Doubtful
44	A8B6W4	Uncharacterized protein (A8B6W4_GIAIC)	GL50803_113133		95.3030591136757	71.33	17.92	126.60138002080399	Oxidation of M(M61, M67, M202, M313)	Oxidation of M(4)			Single Protein		A8B6W4	17	24	24	17	24	17	27	46	100.0	Confident
45	A8B6X3	Putative Translation initiation factor eIF-4A (A8B6X3_GIAIC)	GL50803_10255		43.245708894900396	92.07	7.16	88.77999060067137					Single Protein		A8B6X3	3	7	7	3	7	3	4	8	100.0	Confident
46	A8B6Y7	Ribokinase (A8B6Y7_GIAIC)	GL50803_15297		36.60060871158592	86.63	4.07	58.50054292173587					Single Protein		A8B6Y7	1	4	4	1	4	1	1	4	100.0	Doubtful
47	A8B6Z3	WD-40 repeat protein family (A8B6Z3_GIAIC)	GL50803_10822		38.50608992843329	90.94	15.5	233.5632608611641	Oxidation of M(M157)	Oxidation of M(1)			Single Protein		A8B6Z3	4	8	8	4	8	4	9	13	100.0	Confident
48	K2C1_HUMAN				65.84694613410919	65.16	55.52	1804.354904578044	Oxidation of M(M258, M261, M295, M468)	Oxidation of M(4)			Single Protein		K2C1_HUMAN	78	89	83	73	83	73	386	506	100.0	Confident
49	A8BHA7	Uncharacterized protein (A8BHA7_GIAIC)	GL50803_4259		30.412431864217506	40.99	35.34	777.4908670808014					Single Protein		A8BHA7	9	14	14	9	14	9	16	23	100.0	Confident
50	A0A644EY22	Axoneme-associated protein GASP-180 (A0A644EY22_GIAIC)	GL50803_0061565		179.16346936944646	86.91	15.67	53.313770153743235	Oxidation of M(M43, M64, M279)	Oxidation of M(3)			Related Proteins	A0A644F983	A0A644EY22, A0A644F983	25	40	0	0	0	0	39	69	100.0	Confident
51	A8BGG4	Leucine-rich repeat protein 1 virus receptor protein (A8BGG4_GIAIC)	GL50803_5795		85.39477646269665	63.42	13.62	257.3079678133339	Oxidation of M(M140, M561, M596, M694)	Oxidation of M(4)			Single Protein		A8BGG4	17	31	31	17	31	17	31	48	100.0	Confident
52	A0A644F8Z4	ANK_REP_REGION domain-containing protein (A0A644F8Z4_GIAIC)	GL50803_0093294		358.61537198998394	82.6	14.83	1.6323185197263381					Related Proteins	A8B5L6	A0A644F8Z4, A8B5L6	4	7	7	4	7	4	5	10	100.0	Confident
53	A8B6J5	Kinase, NEK (A8B6J5_GIAIC)	GL50803_2483		57.1811489312684	82.12	2.75	54.93643421431919					Single Protein		A8B6J5	2	4	4	2	4	2	2	4	100.0	Confident
54	A8B6L8	40S ribosomal protein S6 (A8B6L8_GIAIC)	GL50803_14620		28.01017315724481	100.0	43.55	359.9524926632842	Oxidation of M(M23, M69)	Oxidation of M(2)			Single Protein		A8B6L8	18	32	32	18	32	18	25	39	100.0	Confident
55	A8BH24	Kinase, NEK (A8BH24_GIAIC)	GL50803_15411		77.9558369084634	71.39	5.81	262.64650532093845	Oxidation of M(M514)	Oxidation of M(1)			Single Protein		A8BH24	4	10	10	4	10	4	11	19	100.0	Confident
56	A8BH19	Protein kinase domain-containing protein (A8BH19_GIAIC)	GL50803_15409		56.972904879879444	69.13	17.86	201.39210829613913	Oxidation of M(M203, M327, M376, M460)	Oxidation of M(4)			Single Protein		A8BH19	7	8	8	7	8	7	12	16	100.0	Confident
57	A8BH31	CCT-beta (A8BH31_GIAIC)	GL50803_11397		56.568445028452786	100.0	3.81	49.8090336876494	Oxidation of M(M432)	Oxidation of M(1)			Single Protein		A8BH31	2	9	9	2	9	2	3	9	100.0	Confident
58	A8BH45	Ankyrin repeat protein 1 (A8BH45_GIAIC)	GL50803_14681		56.179286881520135	62.18	1.98	40.54223672250532					Single Protein		A8BH45	1	7	7	1	7	1	1	7	100.0	Doubtful
59	A0A644F9E9	DUF862 domain-containing protein (A0A644F9E9_GIAIC)	GL50803_0024425		49.818009465980474	72.09	2.42	49.10749800190786					Related Proteins	A8BBP5	A0A644F9E9, A8BBP5	1	1	1	1	1	1	1	1	100.0	Doubtful
60	A8BYY5	Ser/Thr phosphatase 2A regulatory subunit A (A8BYY5_GIAIC)	GL50803_7439		71.7238690912073	85.74	7.06	51.968774985758856	Oxidation of M(M593)	Oxidation of M(1)			Single Protein		A8BYY5	3	10	10	3	10	3	3	12	100.0	Confident
61	A8B882	Protein kinase domain-containing protein (A8B882_GIAIC)	GL50803_17069		58.7379771402474	84.32	2.87	37.3301109008079					Single Protein		A8B882	1	2	2	1	2	1	1	2	100.0	Doubtful
62	A0A644FF90	Outer-arm dynein beta (Fragment) (A0A644FF90_GIAIC)	GL50803_0017243B		139.84952281355896	84.52	1.47	15.238777789053575	Oxidation of M(M335)	Oxidation of M(1)			Unrelated Proteins	A8B9Q2	A0A644FF90, A8B9Q2	1	8	0	0	8	1	1	15	94.5945945945946	Doubtful
63	A8BZB0	Seven transmembrane protein 1 (A8BZB0_GIAIC)	GL50803_8044		35.146033391296584	43.71	2.52	76.79806956245503					Single Protein		A8BZB0	1	2	2	1	2	1	1	3	93.75	Doubtful
64	A8BZD3	Ribosomal_S7 domain-containing protein (A8BZD3_GIAIC)	GL50803_12981		21.011877512817218	100.0	17.37	209.50378643182356	Oxidation of M(M63, M64)	Oxidation of M(2)			Single Protein		A8BZD3	5	9	9	5	9	5	5	10	100.0	Confident
65	A8B7H8	Ribos_L4_asso_C domain-containing protein (A8B7H8_GIAIC)	GL50803_17547		34.96576867343805	100.0	30.7	437.8451133293599	Oxidation of M(M314)	Oxidation of M(1)			Single Protein		A8B7H8	11	20	20	11	20	11	19	36	100.0	Confident
66	A8BYL1	Uncharacterized protein (A8BYL1_GIAIC)	GL50803_13584		43.609829494226155	86.27	3.11	45.16363158206551					Single Protein		A8BYL1	1	3	3	1	3	1	1	3	100.0	Doubtful
67	A0A644F9P4	WD40 repeat protein (A0A644F9P4_GIAIC)	GL50803_0017068		36.996375131879056	70.69	4.83	74.50069141315082	Oxidation of M(M195)	Oxidation of M(1)			Unrelated Proteins	A8B880	A0A644F9P4, A8B880	1	4	4	1	4	1	2	4	100.0	Doubtful
68	A8BHN6	Uncharacterized protein (A8BHN6_GIAIC)	GL50803_21628		42.35215824428589	100.0	54.31	212.5390138651354					Single Protein		A8BHN6	22	37	35	20	35	20	33	46	100.0	Confident
